Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,FacilityAge,FacilityCondition,FacilityUpgradeAge,LGA
WYNDHA11003,Saltwater Reserve,,Point Cook,Road,Point Cook,3030.0,-37.909351,144.752502,26581,Tennis (Outdoor),0 - 5 Years,5. Very Good,,Wyndham
WYNDHA8522,Sanctuary Lakes Golf Club,,Greg Norman,Drive,Point Cook,3030.0,-37.896097,144.762714,26670,Tennis (Outdoor),,,,Wyndham
WYNDHA8530,Werribee Sports & Fitness Centre,,Ballan,Road,Werribee,3030.0,-37.898601,144.64031599999998,26688,Tennis (Outdoor),,4. Good,,Wyndham
WYNDHA8531,Willow Green Park Tennis Courts,,Spindrift,Way,Point Cook,3030.0,-37.885605,144.751023,26690,Tennis (Outdoor),6 - 10 Years,3. Average,,Wyndham
WYNDHA11006,Wootten Road Reserve,,Wootten,Road,Tarneit,3029.0,-37.8565,144.66,26588,Tennis (Outdoor),0 - 5 Years,5. Very Good,,Wyndham
WYNDHA8532,Wyndham Green Tennis Courts,,Amber,Place,Wyndham Vale,3024.0,-37.887244,144.61954599999999,26691,Tennis (Outdoor),6 - 10 Years,3. Average,,Wyndham
WYNDHA8535,Wyndham Waters,,Sayers,Road,Truganina,3029.0,-37.851221,144.726537,26697,Tennis (Outdoor),,,,Wyndham
WYNDHA8530,Werribee Sports & Fitness Centre,,Ballan,Road,Werribee,3030.0,-37.898601,144.64031599999998,26689,Volleyball,,4. Good,,Wyndham
YARRAC11007,Citizen’s Park Oval and Jack Dyer Pavilion,,Gleadell,Street,Richmond,3121.0,-37.817218,145.000351,17807,Athletics,26 - 50 Years,2. Poor,11 + Years,Yarra
YARRAC10978,George Knott Athletics Track and Ray Coverdale Pavilion,,Heidelberg,Road,Clifton Hill,3068.0,-37.784205,145.002319,17767,Athletics,26 - 50 Years,4. Good,1 - 5 Years,Yarra
YARRAC10993,Alfred Crescent Oval and Pavilion,,Brunswick,Street,Fitzroy,3065.0,-37.78753,144.982377,17789,Australian Rules Football,0 - 5 Years,4. Good,1 - 5 Years,Yarra
YARRAC10967,Alphington Park Oval and Pavilion,,Parkview,Road,Alphington,3067.0,-37.783778999999996,145.029131,17749,Australian Rules Football,51 Years +,4. Good,1 - 5 Years,Yarra
YARRAC11007,Citizen’s Park Oval and Jack Dyer Pavilion,,Gleadell,Street,Richmond,3121.0,-37.817218,145.000351,17808,Australian Rules Football,26 - 50 Years,2. Poor,11 + Years,Yarra
YARRAC10972,Loughan Oval and Johnson Pavilion,,Swan,Street,Burnley,3121.0,-37.828576,145.020462,17758,Australian Rules Football,11 - 25 Years,3. Average,1 - 5 Years,Yarra
YARRAC10985,Ramsden Street Oval and Pavilion,,Ramsden,Street,Fairfield,3078.0,-37.789873,145.00311100000002,17779,Australian Rules Football,26 - 50 Years,2. Poor,Upgrade in progress,Yarra
YARRAC10962,Victoria Park,,Turner,Street,Abbotsford,3067.0,-37.79858,144.996607,17744,Australian Rules Football,51 Years +,4. Good,< 1 Years,Yarra
YARRAC10995,W T Peterson Oval & Edinburgh Gardens Change Rooms,,Brunswick,Street,Fitzroy,3065.0,-37.78753,144.982377,17792,Australian Rules Football,51 Years +,4. Good,1 - 5 Years,Yarra
YARRAC11029,Collingwood Secondary College,,Mc Cutcheon,Way,Collingwood,3066.0,-37.803256,144.98903,17842,Basketball,11 - 25 Years,3. Average,11 + Years,Yarra
YARRAC11032,Fitzroy Secondary  School,,Falconer,Street,Fitzroy,3065.0,-37.800909000000004,144.97915700000001,17848,Basketball,,,,Yarra
YARRAC11028,Melbourne Girls College,,Yarra,Boulevard,Burnley,3121.0,-37.82969,145.012699,17840,Basketball,11 - 25 Years,,11 + Years,Yarra
YARRAC11030,Princes Hill Seconary College,,Arnold,Street,Princes Hill,3504.0,-37.781818,144.966587,17845,Basketball,,,,Yarra
YARRAC5444,Lilydale BMX Club,,Anderson,Street,Lilydale,3140.0,-37.748157,145.356706,27698,BMX,,,,Yarra Ranges
YARRAC11024,Melbourne Aboriginal Sport and Recreation Gym,,Gertrude,Street,Fitzroy,3065.0,-37.805467,144.974449,17835,Martial Arts,26 - 50 Years,3. Average,6 - 10 Years,Yarra
YARRAC11023,Richmond Boxing Club,,Gleadell,Street,Richmond,3121.0,-37.81838,145.001525,17833,Martial Arts,26 - 50 Years,2. Poor,11 + Years,Yarra
YARRAC11022,Stanton Street Hall,,Stanton,Street,Collingwood,3066.0,-37.801956,144.98816399999998,17831,Martial Arts,26 - 50 Years,4. Good,< 1 Years,Yarra
YARRAC11026,Fairfield Canoe Club,9,The Esplanade,Nan,Fairfield,3078.0,-37.785639,145.01875900000002,17838,Canoeing,,,,Yarra
YARRAC11027,Fairfield Park Canoe Facility,,Heidelberg,Street,Fairfield,3078.0,-37.78437,145.004222,17839,Canoeing,26 - 50 Years,2. Poor,11 + Years,Darebin
YARRAC10983,Alan Bain Reserve and Pavilion,,Church,Street,Cremorne,3121.0,-37.830218,145.001134,17775,Cricket,11 - 25 Years,4. Good,1 - 5 Years,Yarra
YARRAC10993,Alfred Crescent Oval and Pavilion,,Brunswick,Street,Fitzroy,3065.0,-37.78753,144.982377,17790,Cricket,0 - 5 Years,4. Good,1 - 5 Years,Yarra
YARRAC10967,Alphington Park Oval and Pavilion,,Parkview,Road,Alphington,3067.0,-37.783778999999996,145.029131,17750,Cricket,51 Years +,4. Good,1 - 5 Years,Yarra
YARRAC10970,Burnley Park Oval and O’Connell Pavilion,,Park,Grove,Burnley,3121.0,-37.826103,145.01414499999998,17754,Cricket,0 - 5 Years,4. Good,1 - 5 Years,Yarra
YARRAC11007,Citizen’s Park Oval and Jack Dyer Pavilion,,Gleadell,Street,Richmond,3121.0,-37.817218,145.000351,17809,Cricket,26 - 50 Years,2. Poor,11 + Years,Yarra
YARRAC10964,Corben Oval,,Yarra Bend,Road,Abbotsford,3067.0,-37.795643,145.00771799999998,17746,Cricket,26 - 50 Years,2. Poor,11 + Years,Yarra
YARRAC10984,Fairfield Park Oval and Maxwell Sutherland Pavilion,,Yarra Bend,Road,Fairfield,3078.0,-37.785738,145.009954,17778,Cricket,26 - 50 Years,2. Poor,6 - 10 Years,Yarra
